Campaign Name,Campaigner,Date of Submission,Urgency,List,Notes,Approval Date
Consultation: Tying the Knot: Reforming weddings law in England and Wales (DRAFT),cjoyce@citizengo.net,2026-08-15,Non-Urgent Campaign (by default),EN GB,Draft generated by parl-monitor,
GENERAL INFORMATION
Type of Campaign,[CAMPAIGNER: Survival / Obligatory / Opportunity]
Topic,Family & Education
Main Purposes,Political Impact
Background / Context,"Consultation: Tying the Knot: Reforming weddings law in England and Wales. Law Commission weddings reform closes 24 September. Celebrant-led and outdoor ceremonies risk detaching marriage from its legal safeguards. Campaign live under Zuzana; response push through recess. Deadline: 2026-09-24. Parliamentary activity on this issue in the last six months (from the monitor's ledger): 9 debate contributions, 4 written questions."
Estimated Launch date,[CAMPAIGNER]
Estimated date for Delivering Signatures,Before 2026-09-24
Ideas for eventual Offline Actions,"- Church noticeboard and bulletin inserts explaining the consultation and deadline
- Letters to local MPs before the 24 September deadline highlighting constituent concern
- Short briefing sheets for pastors and community leaders to raise awareness among congregations
- Local prayer and information evenings on marriage law ahead of the deadline
- Social media toolkit with shareable deadline countdown graphics"
Petitions related TIM project (Targeting Inactive Members),
PROMPTS FOR AI - PLAN PHASE
What is the language for this petition?,English
Who will sign the emails for this petition?,Christopher Joyce
Who is the petition addressed to?,"The responsible department, via the consultation response"
What are we asking for in the petition?,"We are asking supporters to respond to the Law Commission's consultation before it closes on 24 September, calling on Government to reject proposals that would let marriage be reduced to a celebrant-led or outdoor ceremony stripped of the legal safeguards that protect spouses, children and the institution of marriage itself."
Why would they listen to us?,"This is a live, open Government consultation specifically inviting public responses, meaning ministers and the Law Commission are formally required to consider what supporters submit. Parliament has already shown sustained interest, with 9 debate contributions and 4 written questions on this issue in the past six months, proving MPs are watching this space closely."
What is happening that we are responding to?,"Consultation: Tying the Knot: Reforming weddings law in England and Wales. Law Commission weddings reform closes 24 September. Celebrant-led and outdoor ceremonies risk detaching marriage from its legal safeguards. Campaign live under Zuzana; response push through recess. Deadline: 2026-09-24. Parliamentary activity on this issue in the last six months (from the monitor's ledger): 9 debate contributions, 4 written questions."
What is the key point of injustice that is at stake here?,"Marriage is not just a ceremony, it is a legal bond that protects spouses and children through binding safeguards built up over generations. This consultation proposes loosening those safeguards in favour of informal, celebrant-led or outdoor ceremonies. If the legal backbone of marriage is hollowed out to make weddings more 'flexible', the people who lose out are the vulnerable: spouses left without proper legal protection and children whose family life rests on an institution now treated as optional paperwork."
PROMPTS FOR AI - PREPARE PHASE
What are some arguments supporting our point of view?,"- Marriage's legal safeguards exist precisely to protect people, especially women and children, when relationships break down. Weakening them in the name of flexibility punishes the vulnerable.
- A wedding is not merely a personal celebration; it is the public, legal foundation of family life. Detaching the ceremony from its legal force undermines the seriousness of the commitment being made.
- Reforms marketed as modernisation often quietly erode protections that took decades to build. Supporters should not assume 'reform' means improvement.
- Parliament has already seen sustained attention on this issue, with 9 debate contributions and 4 written questions in the last six months, showing this is a live and contested area of policy, not a settled technical matter."
Why is it urgent that we take action now?,"The consultation closes on 24 September 2026 and responses must be submitted before then. Once it closes, the window for public and parliamentary voices to shape the outcome will be gone, and any resulting reform could be locked in for a generation. With recess approaching, this is exactly the moment officials hope fewer people will be watching."
Describe a bad outcome if we do not win this campaign:,"Marriage law is reformed to permit celebrant-led and outdoor ceremonies with weakened legal safeguards, meaning couples may believe they are properly married when the underlying legal protections have been diluted. Spouses and children lose the certainty and protection that marriage law was designed to provide, and the institution of marriage is further reduced to a matter of personal preference rather than a protected legal and social foundation."
Describe a good outcome if we do win this campaign:,"The Law Commission and Government hear a strong public response defending marriage's legal safeguards. Any reform that proceeds preserves, rather than dilutes, the legal protections for spouses and children, and marriage continues to be recognised and protected as more than a ceremony choice."
Which sources do you want to include? Please provide the titles plus URLs:,https://www.gov.uk/government/consultations/tying-the-knot-reforming-weddings-law-in-england-and-wales | https://parl-monitor-partner.vercel.app/mp-votes.html
What should the image for this campaign look like?,"A simple, dignified image of a couple's hands at a traditional wedding ceremony, wedding rings visible, perhaps with a subtle legal document or register in the background, conveying that marriage is both a heartfelt union and a protected legal bond. Warm, hopeful tones rather than clinical or bureaucratic imagery."
RED FOX FOUR
PLAN STAGE,,,,EVALUATE STAGE,,
#,Question,"Scoring 
(-10 to +10)",Comments,"Scoring
(-10 to +10)",Delta,Comments
RF#1,"Win or lose, just by fighting this fight, will it bring people or money to our cause?",,"Comparable campaigns on this topic - Protect Marriage: Keep Clear Consent in Law: 2,096 new / 21,371 sigs (9.8% acquired) | Marriage works. Don't let the Government rewrite the rules.: 629 new / 15,846 sigs (4.0% acquired) | One Law for Marriage: Protect women and children from sharia: 352 new / 21,072 sigs (1.7% acquired). Topic lifetime: 4 campaigns, 3,077 new members, median acquisition 4.0%. Baseline logged 2026-08-13.",,,
RF#2,"Win or lose, just by fighting this fight, will it help our friends or allies?",,"5CA Commons: 13 with us (++/+), 19 against (-/--).",,,
RF#3,"Win or lose, just by fighting this fight, will it hurt our enemies and their allies?",,Opponent organisations are not tracked by the monitor; campaigner's knowledge.,,,
