Campaign Name,Campaigner,Date of Submission,Urgency,List,Notes,Approval Date
Consultation on the Religious Education Core Syllabus (DRAFT),cjoyce@citizengo.net,2026-08-31,Urgent Campaign (30 days to 2026-09-30),EN GB,Draft generated by parl-monitor,
GENERAL INFORMATION
Type of Campaign,[CAMPAIGNER: Survival / Obligatory / Opportunity]
Topic,Family & Education
Main Purposes,Political Impact
Background / Context,"Consultation on the Religious Education Core Syllabus. Deadline: 2026-09-30. Parliamentary activity on this issue in the last six months (from the monitor's ledger): 105 debate contributions, 23 written questions. The Northern Ireland Department of Education is consulting on a redrafted Religious Education Core Syllabus. The consultation opened 24 June 2026, was published 1 July, and closes at 11:59am on 30 September 2026. It is run by DE on behalf of the RE Drafting Group, chaired by Professor Noel Purdy: twelve experienced RE specialist teachers who have met formally seven times since 13 April 2026, alongside a Church Consultative Group of three representatives nominated by the Chairperson of the Council for Catholic Maintained Schools and three by the Transferors Representative Council. The review was commissioned after the Supreme Court judgment of 19 November 2025 in the JR87 case, which concerned Article 2 of the First Protocol read with Article 9 of the ECHR. Colton J found that the existing core syllabus ""does not provide for religious education in an objective, critical and pluralistic manner"", and that finding was upheld on appeal. CitizenGO has standing on this issue. Our petition 17165, Protect Christian Teaching in Northern Ireland Schools, ran from November 2025 to March 2026 and took **96,328 signatures net of duplicates**, recruiting 29,509 new audience members and reactivating 8,709. It grew NI membership from roughly 1,000 to about 11,500 and raised approximately EUR 4,400. DUP MLA for Belfast East David Brooks formally presented it in the Northern Ireland Assembly on 9 March 2026. The campaign ended in a written commitment from Education Minister Paul Givan: that the syllabus would be revised to comply with the judgment but Christianity would remain central; that parents' rights matter, ""including clear and practical arrangements for withdrawal""; and that there would be stronger oversight of how RE is delivered in schools. Our published report-back promised supporters we would ""continue to monitor developments closely to ensure the Education Minister's commitments are kept"". This consultation is the deliverable those commitments were made about."
Estimated Launch date,[CAMPAIGNER]
Estimated date for Delivering Signatures,Before 2026-09-30
Ideas for eventual Offline Actions,"A second delivery to Stormont via David Brooks MLA, who presented petition 17165 and is an established and willing champion.

Ask supporters to submit the consultation response directly, not only to sign. Suggested answers and a separate EQIA response form already exist elsewhere, so the technical barrier for our list is already lowered.

Request a meeting with the Minister's office on the strength of the earlier written commitment, rather than opening with public criticism."
Petitions related TIM project (Targeting Inactive Members),
PROMPTS FOR AI - PLAN PHASE
What is the language for this petition?,English
Who will sign the emails for this petition?,Christopher Joyce
Who is the petition addressed to?,"The responsible department, via the consultation response"
What are we asking for in the petition?,"We are asking Education Minister Paul Givan to publish clear and practical arrangements for parental withdrawal from Religious Education alongside the syllabus, before it is made law. We are asking him to move comparative worldview teaching out of Foundation Stage so it begins no earlier than Key Stage 2. And we are asking him to set out, in writing, the promised arrangements for oversight of how RE is delivered in schools."
Why would they listen to us?,"The Department is legally obliged to consider consultation responses before finalising statutory content. We have three sources of leverage most respondents do not: a written ministerial commitment we can quote back to him, an NI list of roughly 11,500 members built on precisely this issue, and an MLA, David Brooks, who has already carried our petition onto the floor of the Assembly. The ask is also deliberately cheap for the Minister to grant. Publishing withdrawal arrangements does not require him to defy the Supreme Court or reverse the syllabus, and it lets him say he kept his word. A campaign that credits him for the part he honoured, and presses on the part he did not, is far more likely to move him than one accusing him of betrayal."
What is happening that we are responding to?,"Consultation on the Religious Education Core Syllabus. Deadline: 2026-09-30. Parliamentary activity on this issue in the last six months (from the monitor's ledger): 105 debate contributions, 23 written questions. The Northern Ireland Department of Education is consulting on a redrafted Religious Education Core Syllabus. The consultation opened 24 June 2026, was published 1 July, and closes at 11:59am on 30 September 2026. It is run by DE on behalf of the RE Drafting Group, chaired by Professor Noel Purdy: twelve experienced RE specialist teachers who have met formally seven times since 13 April 2026, alongside a Church Consultative Group of three representatives nominated by the Chairperson of the Council for Catholic Maintained Schools and three by the Transferors Representative Council. The review was commissioned after the Supreme Court judgment of 19 November 2025 in the JR87 case, which concerned Article 2 of the First Protocol read with Article 9 of the ECHR. Colton J found that the existing core syllabus ""does not provide for religious education in an objective, critical and pluralistic manner"", and that finding was upheld on appeal. CitizenGO has standing on this issue. Our petition 17165, Protect Christian Teaching in Northern Ireland Schools, ran from November 2025 to March 2026 and took **96,328 signatures net of duplicates**, recruiting 29,509 new audience members and reactivating 8,709. It grew NI membership from roughly 1,000 to about 11,500 and raised approximately EUR 4,400. DUP MLA for Belfast East David Brooks formally presented it in the Northern Ireland Assembly on 9 March 2026. The campaign ended in a written commitment from Education Minister Paul Givan: that the syllabus would be revised to comply with the judgment but Christianity would remain central; that parents' rights matter, ""including clear and practical arrangements for withdrawal""; and that there would be stronger oversight of how RE is delivered in schools. Our published report-back promised supporters we would ""continue to monitor developments closely to ensure the Education Minister's commitments are kept"". This consultation is the deliverable those commitments were made about."
