Campaign Name,Campaigner,Date of Submission,Urgency,List,Notes,Approval Date
Relationships and Sex Education (Further Education Sector) Bill (DRAFT),cjoyce@citizengo.net,2026-08-15,Non-Urgent Campaign (by default),EN GB,Draft generated by parl-monitor,
GENERAL INFORMATION
Type of Campaign,[CAMPAIGNER: Survival / Obligatory / Opportunity]
Topic,Family & Education
Main Purposes,Political Impact
Background / Context,"Relationships and Sex Education (Further Education Sector) Bill (sponsor: Alistair Strathern) is at 2nd reading in the Commons. Next key date: 2026-12-04. Parliamentary activity on this issue in the last six months (from the monitor's ledger): 59 debate contributions, 2 written questions."
Estimated Launch date,[CAMPAIGNER]
Estimated date for Delivering Signatures,Before 2026-12-04
Ideas for eventual Offline Actions,"Encourage supporters to write personally to their MP ahead of the 4 December 2026 date, asking how they intend to vote and whether they will back parental safeguard amendments. Organise a letter-writing evening at church or community halls focused on this Bill. Ask local pastors and community leaders to raise the issue with their MP directly. Prepare a simple briefing card supporters can hand to their MP at constituency surgeries explaining the parental rights concern in plain terms."
Petitions related TIM project (Targeting Inactive Members),
PROMPTS FOR AI - PLAN PHASE
What is the language for this petition?,English
Who will sign the emails for this petition?,Christopher Joyce
Who is the petition addressed to?,Individual MPs who could be persuaded ahead of the Bill's next Commons stage
What are we asking for in the petition?,"We are asking supporters to sign a petition calling on MPs to insist that the Relationships and Sex Education (Further Education Sector) Bill cannot proceed without cast-iron guarantees of parental notification and a genuine right to withdraw, mirroring protections that already exist for parents of school-age children. The petition urges MPs at 2nd reading to press for these safeguards to be written into the Bill, not left to guidance that can be quietly changed later."
Why would they listen to us?,"This is a Private Member's Bill sponsored by a backbench MP, not a government flagship measure, and it has not yet cleared 2nd reading. That means its detailed provisions are still open to challenge and amendment. MPs who are weighing how to vote or what amendments to table need to hear from constituents who care about parental rights, particularly while the issue is generating real parliamentary activity, as shown by the volume of debate contributions already logged."
What is happening that we are responding to?,"Relationships and Sex Education (Further Education Sector) Bill (sponsor: Alistair Strathern) is at 2nd reading in the Commons. Next key date: 2026-12-04. Parliamentary activity on this issue in the last six months (from the monitor's ledger): 59 debate contributions, 2 written questions."
What is the key point of injustice that is at stake here?,"Parents of children in schools have a recognised right in law to know what is being taught in Relationships and Sex Education and to withdraw their child if they judge it inappropriate. This Bill would extend RSE requirements into the further education sector, where many students are still 16 or 17, without the facts before us confirming that the same parental notification and withdrawal rights would apply [VERIFY]. If Parliament simply transplants RSE into colleges without transplanting the parental safeguards too, families lose a say over what their teenage children are taught about sex and relationships at precisely the age when guidance matters most."
PROMPTS FOR AI - PREPARE PHASE
What are some arguments supporting our point of view?,"Parents, not the state, bear the primary responsibility and the moral authority for guiding their children through matters of relationships, sexuality and family life. Sixteen and seventeen year olds in further education are still minors under UK law, and the principle that parents should be informed and consulted does not disappear the day a young person walks into a college rather than a school. The Bill is currently at 2nd reading, meaning nothing is settled and MPs can still insist on amendments. With 59 debate contributions and 2 written questions logged on this issue in the last six months, there is clearly active parliamentary interest, which is exactly the moment for MPs to hear from families before the Bill hardens into law."
Why is it urgent that we take action now?,"The Bill is at 2nd reading in the Commons with a next key date of 4 December 2026. This is the stage at which the principle of the Bill is debated and amendments begin to take shape. If families stay silent now, MPs may conclude there is no opposition to extending RSE into further education without parental safeguards, and the window to secure amendments narrows with every stage the Bill passes."
Describe a bad outcome if we do not win this campaign:,"The Bill passes through the Commons and becomes law with RSE extended into further education colleges but without any requirement for colleges to notify parents of what is being taught or to allow withdrawal, leaving families of 16 and 17 year olds with less say over sensitive teaching than they currently have for younger children in school."
Describe a good outcome if we do win this campaign:,"MPs use the 2nd reading debate and subsequent stages to secure firm amendments guaranteeing parental notification and a genuine right of withdrawal for RSE taught in further education settings, so that the rights parents currently hold in schools follow their children into college."
Which sources do you want to include? Please provide the titles plus URLs:,https://bills.parliament.uk/bills/4171 | https://parl-monitor-partner.vercel.app/mp-votes.html
What should the image for this campaign look like?,"A concerned but hopeful parent sitting beside their teenage son or daughter, perhaps looking together at a college prospectus or laptop at the kitchen table, warm domestic lighting, with the silhouette of the Palace of Westminster faintly visible through a window in the background to signal that a parliamentary decision is looming over this family moment."
RED FOX FOUR
PLAN STAGE,,,,EVALUATE STAGE,,
#,Question,"Scoring 
(-10 to +10)",Comments,"Scoring
(-10 to +10)",Delta,Comments
RF#1,"Win or lose, just by fighting this fight, will it bring people or money to our cause?",,"Comparable campaigns on this topic - Say No to Labour’s ‘Summer of Sex’: 15,004 new / 68,223 sigs (22.0% acquired) | Justice for Jennifer: Nurse disciplined and could lose job f: 7,159 new / 77,608 sigs (9.2% acquired) | Stop BBC Trans Indoctrination of Children: 5,474 new / 51,027 sigs (10.7% acquired). Topic lifetime: 58 campaigns, 62,211 new members, median acquisition 5.5%. Baseline logged 2026-08-13.",,,
RF#2,"Win or lose, just by fighting this fight, will it help our friends or allies?",,"5CA Commons: 80 with us (++/+), 32 against (-/--).",,,
RF#3,"Win or lose, just by fighting this fight, will it hurt our enemies and their allies?",,Opponent organisations are not tracked by the monitor; campaigner's knowledge.,,,
