CAMPAIGN NARRATIVE
"Used when a campaign is selected for an Evaluation Meeting, or whenever the campaigner wants the fuller story on record. Compile in chronological order and in low-context communication: the reader will know far less than you, possibly years later."

Date,What happened / what we decided,"Why, and what it changed"
2026-07-20,"Andy Burnham became Prime Minister, succeeding Keir Starmer (who had voted for the assisted dying Bill).",New PM with a social care record as a former Health Secretary; the political frame around assisted dying changed.
2026-07-29,"PM's social care speech at a north London care home: fixing palliative and social care funding must come first, 'that's the position that I will stick to'. Casey report brought forward to summer 2027; ministerial group; Big Conversation on Care.",This is the promise the campaign holds him to.
2026-08-28,PM's letter to the PLP: he will not vote at Second Reading and will implement Parliament's will 'whether that is to change the law or not'. Collective responsibility waived.,Removed the Government from the fight; made the PM's own test the only thing left standing after the vote.
2026-09-04,"CitizenGO delivered the petition against the Bill (18429: 23,130 signatures, 1,659 new members).",The audience for this follow-up; they were told care was the answer.
2026-09-11,Second Reading of the Terminally Ill Adults (End of Life) Bill rejected 270-286 (div. 2428). Hospice UK asked the PM for 'meaningful action'; Ashley Dalton MP told the House to 'sort out social and palliative care'.,Parliament settled the question the PM said had to wait; his condition became a debt.
2026-09-17,"Brief drafted. Decisions: headline promise with three dated tests (Budget 28 Oct, Modern Service Framework autumn, Casey summer 2027); assisted suicide front and centre but never a precondition for legalisation; 5CA on the PM and related ministers only; Obligatory campaign; title 'Prime Minister, keep your word: fund hospices now'; hospices lead, social care is Test 3; Hospice UK's GBP 112.5m the starting measure; delivery attempted at Labour conference 29 Sept, by email if refused.",Sets the shape of the campaign and the scorecard the report-backs will use.
,,
,,

Prompts (delete what does not apply): campaign actions online and offline; decisions made and their rationale; data analysis; reports on offline activities; breaking news that changed the scenario; reactions by stakeholders; the campaign's outcome.
